customer_id,address_id,country_code,address_match_key,address_type_code,mail_indicator,carrier_route,address_ncoa_date,address_1,address_2,address_3,address_4,address_5,address_6,post_code,date_last_modified,address_error,address_longitude,address_latitude,timestamp,create_store_no,modify_store_no,create_user_id,create_date,modify_user_id,create_source_id,create_comment,modify_source_id,modify_comment,posted_date,old_customer_id,temp_old_cust_no
12,1,DEU,100015171    SHIP,BILL,0,R861,04-10-2013,4016 Washington Ave,Suite 124,New York,NY,Building A,Floor 2,10001-5528,04-10-2013 00:00,VALID,-114.690609,32.87706,0000000036404879,1,9422,-1,08-12-2012 00:00,-2,4,Data import,0,Manual correction,04-10-2013 00:00,OLD810226,2005631
13,1,FRA,850019278    BILL,OTHER,1,C9619,31-10-2014,548 Salido Ave,Suite 897,Phoenix,AZ,East Tower,Ground Floor,85001-1296,31-10-2014 00:00,R914,-81.582447,26.855424,0000000026277BD8,9851,9330,-1,13-07-2013 00:00,1000,2,System migration,0,Verified,31-10-2014 00:00,OLD284018,6627673
13,2,AUS,951013304    HOME,SHIP,1,C9399,27-01-2016,4049 Maple Dr,Apt 674,San Jose,CA,West Tower,Floor 1,95101-9032,27-01-2016 00:00,VALID,-100.250532,30.305016,0000000033CE50E7,2,5011,-1,19-09-2012 00:00,3000,1,System migration,2,Verified,27-01-2016 00:00,OLD441966,3175934
14,1,DEU,331012845    HOME,MAIL,0,C3211,13-11-2018,2106 Cedar Rd,Unit 1,Miami,FL,Building A,Floor 2,33101-6437,13-11-2018 00:00,R913,-94.838075,25.8934,0000000028FFF039,5011,9330,3000,25-11-2012 00:00,1000,4,Data import,3,Verified,13-11-2018 00:00,OLD828009,9206328
15,1,JPN,282013805    WORK,OTHER,0,C6262,31-01-2022,5493 Salido Ave,#898,Charlotte,NC,East Tower,Floor 3,28201-8732,31-01-2022 00:00,R913,-77.637415,27.073773,0000000018BC26BE,5011,9330,-1,13-06-2014 00:00,2000,3,Data import,0,NCOA update,31-01-2022 00:00,OLD791727,8254489
15,2,DEU,752016154    BILL,SHIP,0,C9359,11-04-2015,644 Church Rd,Suite 418,Dallas,TX,South Wing,Mezzanine,75201-5533,11-04-2015 00:00,VERIFIED,-91.106477,35.431752,00000000391D0549,9330,9851,1000,10-03-2013 00:00,-2,2,System migration,1,NCOA update,11-04-2015 00:00,OLD286615,7368751
16,1,AUS,787019835    BILL,MAIL,0,C1325,22-03-2021,2124 Washington Ave,Suite 584,Austin,TX,South Wing,Floor 1,78701-2365,22-03-2021 00:00,R913,-79.23223,44.164278,0000000027A123E1,9422,9330,-1,05-10-2013 00:00,1000,1,Data import,2,NCOA update,22-03-2021 00:00,OLD969356,3663367
17,1,USA,321595426    MAIL,SHIP,0,C7016,05-11-2020,5393 Cedar Rd,Unit 25,Lady Lake,FL,East Tower,Floor 2,32159-4988,05-11-2020 00:00,R915,-90.743218,44.56053,00000000005FB7E9,9422,1,-2,10-02-2012 00:00,-1,2,Data import,2,Verified,05-11-2020 00:00,OLD503660,9781179
17,2,MEX,951019701    WORK,SHIP,1,C8309,07-04-2022,2872 Maple Dr,Unit 33,San Jose,CA,Building B,Ground Floor,95101-5427,07-04-2022 00:00,VALID,-89.666395,37.087228,0000000012295569,9422,9330,2000,16-01-2014 00:00,1000,2,Data import,0,System update,07-04-2022 00:00,OLD134990,2249717
18,1,DEU,331017542    WORK,SHIP,0,R634,01-03-2025,2537 Oak Ave,Unit 32,Miami,FL,East Tower,Floor 1,33101-5217,01-03-2025 00:00,VALID,-112.434292,47.303573,000000000A4FB596,5011,5011,-1,09-05-2013 00:00,-2,1,Initial load,3,System update,01-03-2025 00:00,OLD339882,9842587
19,1,FRA,787016544    BILL,MAIL,1,C8809,10-09-2023,4558 Elm St,Apt 606,Austin,TX,Building A,Floor 3,78701-1169,10-09-2023 00:00,R913,-106.735748,41.950902,0000000035D26DEA,9851,2,2000,19-11-2013 00:00,-1,3,System migration,2,System update,10-09-2023 00:00,OLD906131,4354159
20,1,DEU,921017637    HOME,MAIL,1,R771,18-02-2019,5092 Pine Ave,Apt 963,San Diego,CA,West Tower,Floor 2,92101-4349,18-02-2019 00:00,VERIFIED,-123.375106,47.700238,000000002329C49F,9330,9422,-2,23-09-2013 00:00,3000,3,Address verification,2,Verified,18-02-2019 00:00,OLD713922,5786363
20,2,USA,900013367    HOME,MAIL,0,R535,01-09-2019,6207 Pine Ave,Suite 791,Los Angeles,CA,West Tower,Floor 3,90001-7635,01-09-2019 00:00,R915,-103.881109,30.952802,000000001796E098,2,1,1000,22-10-2012 00:00,-2,4,Initial load,1,Updated by customer,01-09-2019 00:00,OLD211886,5737056
21,1,GBR,770014358    HOME,BILL,0,C7019,04-03-2021,6333 Cedar Rd,Apt 631,Houston,TX,North Wing,Floor 1,77001-4126,04-03-2021 00:00,VERIFIED,-71.780109,28.921773,000000002D1DEB08,9588,9330,-1,22-02-2013 00:00,3000,3,Customer update,2,NCOA update,04-03-2021 00:00,OLD921315,9549279
22,1,ITA,320991729    HOME,WORK,0,C8409,06-01-2015,4215 Main St,Unit 30,Jacksonville,FL,South Wing,Mezzanine,32099-5987,06-01-2015 00:00,VERIFIED,-88.076083,49.324019,000000002C767E42,1,5011,3000,07-08-2012 00:00,1000,4,Customer update,1,Manual correction,06-01-2015 00:00,OLD735715,6761067
23,1,CAN,787018550    BILL,OTHER,0,C8936,14-05-2023,2269 Leisure Ln,Apt 917,Austin,TX,West Tower,Floor 2,78701-5110,14-05-2023 00:00,VALID,-65.08378,38.25841,0000000039450D9B,1,2,3000,03-03-2014 00:00,-2,1,Address verification,3,Updated by customer,14-05-2023 00:00,OLD318728,7332164
24,1,CAN,951019869    MAIL,MAIL,0,R697,25-06-2022,3057 Salido Ave,Unit 38,San Jose,CA,East Tower,Ground Floor,95101-4714,25-06-2022 00:00,R914,-72.694649,32.92615,0000000035D33149,9451,5011,3000,12-01-2013 00:00,-2,4,Data import,3,System update,25-06-2022 00:00,OLD526200,8851429
25,1,ESP,761012968    MAIL,MAIL,0,R500,18-12-2023,6941 Leisure Ln,Suite 341,Fort Worth,TX,Building A,Mezzanine,76101-7295,18-12-2023 00:00,VALID,-124.161627,29.477656,0000000027B28788,9588,1,1000,04-02-2014 00:00,3000,4,Data import,2,Manual correction,18-12-2023 00:00,OLD495778,9279775
26,1,USA,921018197    MAIL,MAIL,0,C2745,23-10-2021,9773 Park Ln,Apt 834,San Diego,CA,South Wing,Mezzanine,92101-3350,23-10-2021 00:00,VALID,-80.477147,45.255589,000000000C7FA230,9451,2,1000,21-11-2012 00:00,-2,2,Initial load,3,Updated by customer,23-10-2021 00:00,OLD715012,8828827
26,2,MEX,282015659    WORK,MAIL,0,C1267,05-02-2019,2574 Park Ln,Unit 15,Charlotte,NC,East Tower,Floor 3,28201-3834,05-02-2019 00:00,R914,-106.772301,33.450339,0000000000FD8DF9,9588,1,1000,05-02-2012 00:00,-1,3,Data import,0,Updated by customer,05-02-2019 00:00,OLD745015,2972623
27,1,CAN,900019059    MAIL,HOME,1,C1749,28-02-2014,2337 Main St,Apt 825,Los Angeles,CA,Building B,Floor 1,90001-6691,28-02-2014 00:00,R913,-88.555235,45.351126,000000002602AFF6,9422,9422,3000,04-12-2012 00:00,1000,4,Data import,3,Verified,28-02-2014 00:00,OLD844074,3181819
27,2,FRA,320993672    WORK,BILL,0,C4167,05-06-2012,6016 Pine Ave,Unit 9,Jacksonville,FL,Building A,Floor 3,32099-1420,05-06-2012 00:00,R915,-96.260574,42.015551,000000002BB1A636,1,9330,2000,19-02-2012 00:00,-1,4,System migration,0,Verified,05-06-2012 00:00,OLD990748,7909525
28,1,ESP,761017799    SHIP,SHIP,0,R151,29-02-2024,8420 Maple Dr,#474,Fort Worth,TX,South Wing,Floor 2,76101-7168,29-02-2024 00:00,R915,-114.189546,49.587283,0000000037235E3B,5011,9422,2000,06-01-2013 00:00,1000,2,Customer update,0,NCOA update,29-02-2024 00:00,OLD245793,5173836
29,1,GBR,320996618    MAIL,MAIL,1,R945,06-11-2021,751 Pine Ave,Apt 151,Jacksonville,FL,West Tower,Mezzanine,32099-9126,06-11-2021 00:00,R915,-114.552083,38.119559,0000000027665B83,2,9851,2000,29-01-2014 00:00,-2,3,Data import,2,Manual correction,06-11-2021 00:00,OLD397241,8190840
29,2,ESP,331016986    SHIP,HOME,1,C5876,30-10-2022,5463 Lake Dr,#164,Miami,FL,Building A,Floor 3,33101-1611,30-10-2022 00:00,R914,-119.064888,38.301076,000000003704B6E7,9422,9451,-2,24-08-2012 00:00,3000,3,Data import,2,NCOA update,30-10-2022 00:00,OLD330697,7103771
30,1,FRA,770014720    WORK,MAIL,0,C7916,29-11-2015,1314 Hill St,Unit 34,Houston,TX,Building B,Mezzanine,77001-8416,29-11-2015 00:00,VALID,-103.074123,33.647465,000000001D9AB7CB,9851,5011,3000,10-12-2012 00:00,2000,3,Initial load,0,Manual correction,29-11-2015 00:00,OLD875028,3559532
30,2,USA,321598913    HOME,BILL,1,C1445,07-11-2017,3948 Leisure Ln,Unit 11,Lady Lake,FL,Building B,Floor 1,32159-8730,07-11-2017 00:00,R914,-75.079096,27.753332,00000000356DD06A,9588,9422,3000,06-04-2013 00:00,1000,4,Initial load,2,NCOA update,07-11-2017 00:00,OLD286397,1746424
31,1,DEU,752011234    HOME,BILL,0,R775,10-10-2025,3220 Oak Ave,Suite 451,Dallas,TX,North Wing,Floor 3,75201-6189,10-10-2025 00:00,VERIFIED,-76.112756,45.713964,000000000C9121A2,1,9451,2000,02-04-2013 00:00,-1,2,Address verification,3,System update,10-10-2025 00:00,OLD634873,1695830
32,1,DEU,782013230    HOME,BILL,0,C6811,14-09-2016,9029 Lake Dr,Apt 730,San Antonio,TX,Building B,Ground Floor,78201-1810,14-09-2016 00:00,R915,-122.928385,35.767815,0000000017574CE7,9588,9451,-1,03-11-2013 00:00,3000,2,Data import,1,System update,14-09-2016 00:00,OLD791330,4568338
33,1,ITA,430042569    WORK,BILL,0,R985,13-06-2022,6856 Lake Dr,#709,Columbus,OH,East Tower,Floor 2,43004-5846,13-06-2022 00:00,VALID,-89.784261,33.375206,000000000C077483,9851,9422,1000,23-06-2012 00:00,1000,4,Customer update,2,Updated by customer,13-06-2022 00:00,OLD438842,3174392
33,2,GBR,900016872    BILL,BILL,0,R542,02-04-2025,8430 Cedar Rd,Unit 21,Los Angeles,CA,North Wing,Floor 2,90001-1814,02-04-2025 00:00,VALID,-94.129137,34.296089,000000002414CB6B,9851,2,3000,23-01-2014 00:00,-1,3,Data import,2,System update,02-04-2025 00:00,OLD668575,5649844
34,1,GBR,782019457    WORK,HOME,1,R719,10-04-2025,1739 Leisure Ln,Unit 43,San Antonio,TX,Building A,Mezzanine,78201-1982,10-04-2025 00:00,R915,-71.030471,45.4461,000000002D7A8B76,1,9451,1000,26-07-2013 00:00,-1,4,Address verification,0,Verified,10-04-2025 00:00,OLD444180,1471827
34,2,FRA,100019400    SHIP,BILL,0,R626,28-06-2020,2072 Park Ln,Suite 534,New York,NY,North Wing,Floor 3,10001-2551,28-06-2020 00:00,R915,-67.22249,47.673601,00000000226D00EE,2,9451,2000,06-10-2012 00:00,2000,4,Customer update,3,Updated by customer,28-06-2020 00:00,OLD822187,8806217
35,1,DEU,320997738    WORK,MAIL,0,R858,17-12-2016,9593 Church Rd,Apt 842,Jacksonville,FL,West Tower,Ground Floor,32099-8559,17-12-2016 00:00,R915,-114.338136,41.131863,0000000018177ECB,9422,9422,2000,16-03-2013 00:00,-1,3,Customer update,3,NCOA update,17-12-2016 00:00,OLD615388,8506214
35,2,ESP,282015290    WORK,BILL,1,R712,10-12-2020,9497 Cedar Rd,Apt 805,Charlotte,NC,North Wing,Mezzanine,28201-8977,10-12-2020 00:00,R914,-74.842675,40.938363,0000000014853EB6,9851,5011,1000,18-08-2013 00:00,-2,4,Customer update,0,Verified,10-12-2020 00:00,OLD328684,5696960
36,1,DEU,752017859    HOME,SHIP,1,R689,01-04-2017,3485 Park Ln,#17,Dallas,TX,North Wing,Floor 2,75201-1416,01-04-2017 00:00,VERIFIED,-106.406704,41.151234,0000000014FFF855,9588,9851,1000,30-05-2013 00:00,-1,1,System migration,2,NCOA update,01-04-2017 00:00,OLD208467,9293792
37,1,FRA,782015396    MAIL,SHIP,0,C3883,21-07-2023,3260 Salido Ave,#328,San Antonio,TX,South Wing,Floor 2,78201-5231,21-07-2023 00:00,R914,-110.166707,44.73002,0000000002DA3D37,9422,9851,2000,13-02-2014 00:00,-1,1,Address verification,3,NCOA update,21-07-2023 00:00,OLD612842,1224485
37,2,JPN,951015128    MAIL,MAIL,0,R185,03-09-2013,6367 Maple Dr,#716,San Jose,CA,West Tower,Mezzanine,95101-1289,03-09-2013 00:00,R913,-107.269089,33.056166,0000000021498A7C,9422,5011,-1,01-06-2013 00:00,1000,4,Data import,0,Verified,03-09-2013 00:00,OLD656199,7132191
38,1,FRA,606014327    HOME,WORK,1,C9827,25-10-2017,3608 Washington Ave,Unit 30,Chicago,IL,West Tower,Floor 1,60601-6988,25-10-2017 00:00,VERIFIED,-80.232749,33.01376,0000000025129000,9588,5011,1000,16-07-2012 00:00,1000,1,System migration,2,Verified,25-10-2017 00:00,OLD806532,3979481
38,2,GBR,761016444    HOME,BILL,1,C7626,08-10-2018,3117 Cedar Rd,Unit 2,Fort Worth,TX,South Wing,Floor 1,76101-9340,08-10-2018 00:00,VERIFIED,-117.747401,36.923743,0000000010CB8032,9451,2,-1,26-02-2013 00:00,3000,4,Data import,1,Manual correction,08-10-2018 00:00,OLD247965,4156300
39,1,JPN,787018567    MAIL,BILL,1,R913,23-12-2024,9916 Main St,Apt 747,Austin,TX,West Tower,Ground Floor,78701-1288,23-12-2024 00:00,VALID,-123.731261,48.0584,000000003635A6B0,9851,9451,3000,15-03-2013 00:00,2000,3,Customer update,1,Verified,23-12-2024 00:00,OLD705188,8488543
39,2,GBR,320994031    WORK,MAIL,0,R594,09-09-2025,255 Lake Dr,#344,Jacksonville,FL,Building B,Mezzanine,32099-3494,09-09-2025 00:00,VERIFIED,-68.42196,49.403379,00000000062E5289,9330,2,-1,06-09-2013 00:00,1000,3,Address verification,1,Verified,09-09-2025 00:00,OLD234601,1460802
40,1,AUS,100015261    MAIL,HOME,0,C3065,20-06-2017,2034 Leisure Ln,Suite 441,New York,NY,East Tower,Mezzanine,10001-4096,20-06-2017 00:00,R913,-91.059732,39.526653,00000000115A931B,5011,9451,-2,16-01-2013 00:00,3000,4,Initial load,0,System update,20-06-2017 00:00,OLD996696,1201247
41,1,ITA,100016752    MAIL,OTHER,1,R246,18-03-2013,9253 Washington Ave,Suite 543,New York,NY,South Wing,Mezzanine,10001-6072,18-03-2013 00:00,VALID,-84.743651,33.172614,00000000026B15B9,9422,5011,1000,15-02-2012 00:00,1000,2,Data import,0,System update,18-03-2013 00:00,OLD177517,5382829
42,1,FRA,321591275    SHIP,SHIP,0,C2251,27-06-2019,677 Broadway,#371,Lady Lake,FL,North Wing,Ground Floor,32159-4186,27-06-2019 00:00,R913,-104.061916,42.281875,000000001FEDF079,9422,9851,3000,15-03-2013 00:00,3000,1,System migration,2,Updated by customer,27-06-2019 00:00,OLD913945,5321676
42,2,GBR,787013098    WORK,WORK,0,R687,25-11-2020,1393 Broadway,Suite 800,Austin,TX,West Tower,Floor 1,78701-3147,25-11-2020 00:00,R914,-105.582275,43.796664,000000002D241637,9330,9851,-2,30-07-2014 00:00,3000,3,Customer update,0,System update,25-11-2020 00:00,OLD644935,8984543
43,1,USA,100016548    WORK,SHIP,0,C8050,04-04-2019,9635 Leisure Ln,Unit 15,New York,NY,Building A,Floor 2,10001-6216,04-04-2019 00:00,VALID,-123.276925,37.074494,0000000037E867D2,9851,9451,3000,30-03-2014 00:00,-1,1,Customer update,2,Manual correction,04-04-2019 00:00,OLD811331,3282786
44,1,FRA,130682283    BILL,HOME,1,R305,01-09-2015,5498 Cedar Rd,#844,Freeville,NY,Building A,Floor 3,13068-3056,01-09-2015 00:00,R915,-112.422823,49.914676,00000000390A716C,2,5011,2000,03-03-2014 00:00,-1,1,Customer update,2,NCOA update,01-09-2015 00:00,OLD127189,1437665
45,1,JPN,320997240    SHIP,OTHER,1,R511,06-02-2013,9841 Washington Ave,Suite 925,Jacksonville,FL,North Wing,Floor 2,32099-1594,06-02-2013 00:00,R913,-123.951426,25.223627,000000001124523D,5011,9588,3000,03-02-2012 00:00,-2,1,Data import,1,Manual correction,06-02-2013 00:00,OLD368477,9424584
46,1,GBR,606013310    BILL,OTHER,0,R371,16-10-2021,4167 Washington Ave,#165,Chicago,IL,South Wing,Floor 2,60601-5554,16-10-2021 00:00,R915,-115.497453,29.960181,000000001AB49485,9451,9588,3000,30-12-2013 00:00,2000,3,Address verification,0,System update,16-10-2021 00:00,OLD166102,5856162
47,1,ITA,770014420    SHIP,WORK,1,C2923,21-10-2017,2899 Broadway,#477,Houston,TX,South Wing,Floor 3,77001-2435,21-10-2017 00:00,R914,-118.428295,34.011804,000000003448079C,9851,9588,-1,17-08-2013 00:00,1000,2,Address verification,3,NCOA update,21-10-2017 00:00,OLD412242,5876824
48,1,AUS,606015686    MAIL,HOME,0,C6833,06-04-2022,2004 Leisure Ln,Apt 153,Chicago,IL,East Tower,Mezzanine,60601-5234,06-04-2022 00:00,R914,-113.778307,48.576982,000000002E92C44F,9330,9588,1000,05-04-2012 00:00,1000,2,Customer update,2,NCOA update,06-04-2022 00:00,OLD642776,1946491
48,2,FRA,606018676    HOME,BILL,0,C7677,30-10-2016,5386 Maple Dr,Suite 406,Chicago,IL,South Wing,Floor 3,60601-3644,30-10-2016 00:00,VERIFIED,-68.516737,39.217401,000000001805F79F,9588,9588,-2,06-08-2014 00:00,3000,3,System migration,0,Manual correction,30-10-2016 00:00,OLD156020,3418219
49,1,ITA,100019766    SHIP,HOME,1,C3934,21-08-2025,9862 Cedar Rd,#13,New York,NY,Building B,Floor 2,10001-7096,21-08-2025 00:00,R914,-79.873943,29.866087,000000001A5002F2,1,9851,-1,07-08-2014 00:00,3000,4,Customer update,0,Updated by customer,21-08-2025 00:00,OLD423407,5624452
50,1,DEU,130687577    MAIL,HOME,0,C1882,10-12-2012,828 Park Ln,Apt 31,Freeville,NY,South Wing,Ground Floor,13068-5042,10-12-2012 00:00,R913,-75.613988,40.262757,000000001B59F2C3,1,9588,1000,23-11-2012 00:00,3000,2,Initial load,3,Manual correction,10-12-2012 00:00,OLD101355,5464916
50,2,DEU,606013052    MAIL,MAIL,0,C1900,22-09-2014,5043 Oak Ave,Suite 500,Chicago,IL,East Tower,Ground Floor,60601-5175,22-09-2014 00:00,VERIFIED,-90.598626,28.381674,0000000015BE1F5D,2,9451,3000,21-04-2014 00:00,3000,4,Initial load,2,Verified,22-09-2014 00:00,OLD309709,4132909
51,1,FRA,761012946    WORK,WORK,1,R671,19-07-2024,4274 Church Rd,Suite 437,Fort Worth,TX,West Tower,Ground Floor,76101-7279,19-07-2024 00:00,VALID,-100.41868,48.369746,00000000104AA747,9851,9851,1000,17-09-2014 00:00,2000,1,Customer update,0,Updated by customer,19-07-2024 00:00,OLD586643,1905738
52,1,MEX,770016564    HOME,HOME,0,R730,09-11-2017,4383 Washington Ave,Suite 646,Houston,TX,North Wing,Floor 1,77001-3504,09-11-2017 00:00,VALID,-79.222929,35.64877,000000000DD4FB7C,9422,9588,-1,29-09-2012 00:00,2000,4,Customer update,2,Manual correction,09-11-2017 00:00,OLD988263,3123802
53,1,JPN,320998779    SHIP,SHIP,0,C6053,27-08-2025,6731 Salido Ave,#899,Jacksonville,FL,Building A,Floor 2,32099-4719,27-08-2025 00:00,VERIFIED,-74.251241,45.708001,000000002BF10751,9422,9588,3000,16-04-2012 00:00,2000,3,Address verification,2,Manual correction,27-08-2025 00:00,OLD459791,7363111
53,2,CAN,951017701    MAIL,SHIP,1,R690,29-04-2019,1337 Oak Ave,#515,San Jose,CA,East Tower,Mezzanine,95101-1863,29-04-2019 00:00,VERIFIED,-73.34779,37.841566,000000003B1BD272,9330,9851,3000,12-11-2012 00:00,2000,4,Initial load,0,Updated by customer,29-04-2019 00:00,OLD417576,7735504
54,1,CAN,321591866    MAIL,BILL,1,R376,20-03-2021,1535 Elm St,Unit 34,Lady Lake,FL,Building A,Ground Floor,32159-5070,20-03-2021 00:00,R913,-118.220764,36.03374,000000002A934C62,5011,1,-1,04-01-2014 00:00,1000,3,Initial load,0,System update,20-03-2021 00:00,OLD679730,4376930
55,1,MEX,782018953    WORK,SHIP,0,C6912,18-10-2019,503 Park Ln,#524,San Antonio,TX,South Wing,Mezzanine,78201-6354,18-10-2019 00:00,R915,-88.249087,29.276081,000000002A378C24,1,1,1000,29-03-2012 00:00,-1,3,Data import,1,Manual correction,18-10-2019 00:00,OLD210419,4117472
56,1,AUS,787015294    SHIP,HOME,0,R539,07-05-2014,8068 Maple Dr,Apt 467,Austin,TX,Building A,Mezzanine,78701-5491,07-05-2014 00:00,R913,-109.179394,38.456434,00000000274D9881,9588,2,1000,06-01-2012 00:00,-2,2,Data import,1,NCOA update,07-05-2014 00:00,OLD136840,1273616
57,1,ESP,130688069    SHIP,OTHER,0,R218,12-07-2024,2427 Lake Dr,Apt 649,Freeville,NY,Building B,Floor 1,13068-8156,12-07-2024 00:00,R915,-104.372576,29.644248,0000000038010A82,9851,1,-1,22-03-2014 00:00,1000,3,Customer update,0,System update,12-07-2024 00:00,OLD762295,8573352
57,2,JPN,951013710    HOME,WORK,1,R313,11-11-2024,219 Elm St,Apt 863,San Jose,CA,North Wing,Floor 2,95101-1903,11-11-2024 00:00,VALID,-78.374387,48.774085,00000000325ED76B,9851,9851,1000,12-04-2013 00:00,1000,2,Initial load,1,Updated by customer,11-11-2024 00:00,OLD463985,8062597
58,1,JPN,782011801    WORK,SHIP,0,C6184,27-07-2017,9236 Salido Ave,Apt 984,San Antonio,TX,West Tower,Floor 3,78201-3009,27-07-2017 00:00,R914,-71.927769,37.045038,0000000026079EE9,9330,9588,-2,12-10-2012 00:00,1000,1,Data import,2,Updated by customer,27-07-2017 00:00,OLD444906,1921851
