customer_id,language_code,alpha_key,phonetic_key,customer_no,title,first_name,last_name,gender,marital_status,next_address_id,distribution_status,landmark_date_a,landmark_date_b,segmentation_value_a,segmentation_value_b,segmentation_value_c,segmentation_value_d,segmentation_code_a,segmentation_code_b,segmentation_code_c,segmentation_code_d,segmentation_flag_a,segmentation_flag_b,segmentation_flag_c,segmentation_flag_d,segmentation_flag_e,segmentation_flag_f,status,salutation,head_of_household_flag,timestamp,original_division_id,company_name,job_title,birth_date,birth_day,is_complete,complete_date,complete_modify_date,system_modify_date
11,ITA,HERN    WILL,HERNWI,25896868772,Dr,William,Hernandez,F,M,2,0,25-07-2017,04-12-2017,VIP,LOW,DORMANT,ONLINE,B,1,Y,S,1,1,0,1,1,1,P,Ms William Hernandez,0,000000000761C25A,2,XYZ Industries,Consultant,28-11-1996,28,0,25-07-2017 00:00,08-08-2017 00:00,26-05-2018 00:00
12,CHI,LOPE    LIND,LOPELI,91172754729,Mrs,Linda,Lopez,M,D,1,1,05-08-2014,04-09-2014,GOLD,MEDIUM,DORMANT,HYBRID,A,3,Z,P,1,1,1,1,1,1,P,Mrs Linda Lopez,0,000000001AE897C0,3,Global Enterprises,VP Sales,17-10-1972,17,1,05-08-2014 00:00,26-09-2014 00:00,12-05-2015 00:00
13,POR,MART    JOHN,MARTJO,72126651209,Dr,John,Martinez,M,S,3,1,03-01-2025,29-04-2025,PREMIUM,LOW,DORMANT,RETAIL,B,3,Y,Q,0,0,0,0,1,0,I,Dr John Martinez,0,000000002DF96121,3,Global Enterprises,Specialist,26-07-1958,26,1,03-01-2025 00:00,04-02-2025 00:00,19-03-2025 00:00
14,JPN,BROW    JOHN,BROWJO,83230130340,Mrs,John,Brown,F,M,2,0,14-08-2023,07-05-2024,GOLD,LOW,ENGAGED,HYBRID,E,4,Y,S,1,1,0,1,1,0,A,Dr John Brown,0,000000002DAAB817,2,XYZ Industries,Consultant,26-03-1959,26,1,14-08-2023 00:00,24-09-2023 00:00,13-11-2024 00:00
15,GER,WILL    JESS,WILLJE,66110435665,Dr,Jessica,Williams,M,D,3,1,05-06-2015,02-02-2016,PREMIUM,MEDIUM,ENGAGED,HYBRID,E,1,W,S,0,1,1,1,1,0,I,Mrs Jessica Williams,1,000000001BE4BC98,2,ABC Corp,Analyst,13-04-1954,13,1,05-06-2015 00:00,30-08-2015 00:00,17-05-2016 00:00
16,CHI,GARC    JENN,GARCJE,89851571448,Mr,Jennifer,Garcia,F,M,3,1,08-08-2012,15-11-2012,VIP,MEDIUM,ACTIVE,BOTH,D,3,Y,S,1,1,1,1,1,1,A,Dr Jennifer Garcia,0,000000002FF00373,3,ABC Corp,Engineer,18-10-1953,18,0,08-08-2012 00:00,31-10-2012 00:00,12-09-2012 00:00
17,GER,SMIT    MICH,SMITMI,74966624404,Mr,Michael,Smith,M,U,1,1,02-06-2015,10-11-2015,BASIC,MEDIUM,ACTIVE,ONLINE,C,1,X,R,1,1,0,0,0,0,A,Mr Michael Smith,0,0000000016389623,3,Global Enterprises,Engineer,20-01-1957,20,0,02-06-2015 00:00,06-08-2015 00:00,28-04-2016 00:00
18,POR,SMIT    MARY,SMITMA,73688812930,Mrs,Mary,Smith,F,W,1,1,21-09-2021,01-09-2022,GOLD,VERY_HIGH,ENGAGED,HYBRID,E,3,Z,Q,0,1,1,0,1,1,A,Mr Mary Smith,1,00000000367602E4,2,XYZ Industries,Specialist,04-08-1997,4,0,21-09-2021 00:00,06-11-2021 00:00,03-11-2022 00:00
19,ENG,HERN    THOM,HERNTH,19410515698,Mrs,Thomas,Hernandez,M,W,2,0,19-06-2024,19-03-2025,VIP,VERY_HIGH,ACTIVE,RETAIL,C,2,W,Q,1,1,1,1,1,1,A,Dr Thomas Hernandez,1,00000000139FB60A,2,XYZ Industries,Director,09-12-1983,9,0,19-06-2024 00:00,30-07-2024 00:00,19-08-2024 00:00
20,ITA,GARC    JESS,GARCJE,27096163003,Mrs,Jessica,Garcia,M,D,1,1,15-03-2018,14-07-2018,BASIC,HIGH,INACTIVE,BOTH,A,1,Z,Q,1,0,0,1,1,1,I,Ms Jessica Garcia,0,000000000349C197,2,Consulting LLC,Specialist,16-12-1958,16,0,15-03-2018 00:00,24-03-2018 00:00,06-10-2018 00:00
21,ITA,WILL    ELIZ,WILLEL,23950873922,Prof,Elizabeth,Williams,M,W,3,0,15-08-2024,08-06-2025,VIP,VERY_HIGH,ENGAGED,BOTH,E,4,Z,P,0,0,0,1,0,0,A,Mrs Elizabeth Williams,0,000000000A04A167,1,Global Enterprises,Specialist,26-03-1954,26,1,15-08-2024 00:00,22-09-2024 00:00,31-08-2024 00:00
22,ITA,MART    JOSE,MARTJO,89994015016,Mrs,Joseph,Martinez,M,W,1,0,27-03-2017,23-03-2018,STANDARD,LOW,INACTIVE,RETAIL,A,2,Z,R,1,0,1,1,1,1,P,Dr Joseph Martinez,1,000000000525F597,3,ABC Corp,Analyst,03-08-1989,3,1,27-03-2017 00:00,13-06-2017 00:00,02-08-2017 00:00
23,ITA,WILL    JOHN,WILLJO,16769929259,Mrs,John,Williams,M,W,3,1,18-06-2012,07-12-2012,STANDARD,VERY_HIGH,ENGAGED,RETAIL,D,3,W,R,1,0,0,1,1,1,A,Dr John Williams,0,000000001D1BDE25,1,Tech Solutions,Consultant,19-10-1988,19,1,18-06-2012 00:00,03-07-2012 00:00,27-10-2013 00:00
24,ENG,TAYL    JENN,TAYLJE,79525137618,Ms,Jennifer,Taylor,M,U,2,1,08-04-2021,03-06-2021,STANDARD,LOW,INACTIVE,BOTH,D,4,X,P,0,0,1,0,1,0,A,Mr Jennifer Taylor,1,00000000078490B9,3,Consulting LLC,VP Sales,15-09-1987,15,1,08-04-2021 00:00,09-07-2021 00:00,04-09-2021 00:00
25,JPN,RODR    SUSA,RODRSU,29547534656,Dr,Susan,Rodriguez,F,S,3,0,19-06-2017,23-08-2017,BASIC,VERY_HIGH,DORMANT,BOTH,A,3,Z,S,0,1,1,1,1,1,I,Ms Susan Rodriguez,0,000000002CA3D078,1,Retail Group,Analyst,16-08-1998,16,0,19-06-2017 00:00,27-09-2017 00:00,15-01-2018 00:00
26,JPN,HERN    MICH,HERNMI,18438856718,Mrs,Michael,Hernandez,F,U,3,1,31-05-2015,20-08-2015,VIP,HIGH,ENGAGED,RETAIL,B,4,Y,P,1,1,1,1,0,1,P,Dr Michael Hernandez,1,00000000281D7A4A,3,Consulting LLC,Specialist,13-07-1990,13,0,31-05-2015 00:00,19-08-2015 00:00,05-07-2015 00:00
27,SPA,MART    JOSE,MARTJO,33380421346,Ms,Joseph,Martinez,M,M,1,1,17-03-2014,14-05-2014,BASIC,LOW,DORMANT,HYBRID,B,2,W,Q,0,0,0,1,0,1,P,Mrs Joseph Martinez,0,000000001D837AEF,3,Tech Solutions,Specialist,14-02-1992,14,1,17-03-2014 00:00,11-06-2014 00:00,21-03-2014 00:00
28,ITA,MART    BARB,MARTBA,71203705842,Ms,Barbara,Martinez,M,S,2,1,06-03-2025,29-05-2025,STANDARD,VERY_HIGH,DORMANT,BOTH,C,1,W,R,0,0,1,1,0,1,A,Mrs Barbara Martinez,1,000000002B607E30,3,Consulting LLC,VP Sales,12-08-1949,12,0,06-03-2025 00:00,26-05-2025 00:00,30-01-2026 00:00
29,SPA,MART    MICH,MARTMI,52561527386,Ms,Michael,Martinez,F,W,1,0,12-12-2014,19-03-2015,GOLD,LOW,DORMANT,ONLINE,C,4,Z,R,0,1,0,0,0,1,P,Ms Michael Martinez,0,00000000329A888A,2,ABC Corp,Consultant,12-10-1947,12,0,12-12-2014 00:00,09-02-2015 00:00,18-06-2015 00:00
30,GER,JACK    THOM,JACKTH,12024977737,Prof,Thomas,Jackson,F,U,2,0,06-06-2014,02-06-2015,PREMIUM,VERY_HIGH,DORMANT,HYBRID,A,2,X,P,1,1,0,0,0,0,I,Dr Thomas Jackson,1,000000002AE93F01,3,Services Inc,Analyst,12-11-1997,12,0,06-06-2014 00:00,30-07-2014 00:00,07-05-2015 00:00
31,GER,THOM    JAME,THOMJA,72033857999,Mrs,James,Thomas,F,D,1,1,23-04-2020,25-02-2021,BASIC,HIGH,ENGAGED,BOTH,B,1,W,P,0,0,0,1,0,0,P,Mrs James Thomas,0,00000000351BBC42,3,XYZ Industries,CEO,23-01-1962,23,0,23-04-2020 00:00,05-06-2020 00:00,24-05-2021 00:00
32,ITA,MART    ROBE,MARTRO,34904427237,Mr,Robert,Martin,M,M,1,0,12-02-2024,12-09-2024,STANDARD,LOW,ACTIVE,ONLINE,C,1,Y,S,0,0,1,1,1,0,I,Mrs Robert Martin,0,000000002E8B2634,3,Retail Group,Consultant,05-03-1962,5,1,12-02-2024 00:00,05-05-2024 00:00,19-06-2025 00:00
33,JPN,JOHN    JOHN,JOHNJO,20495020293,Mr,John,Johnson,F,D,3,0,03-06-2014,05-08-2014,STANDARD,LOW,DORMANT,HYBRID,E,5,Z,S,1,0,0,0,1,1,A,Dr John Johnson,1,0000000034F46FC4,2,Global Enterprises,Analyst,14-07-1999,14,0,03-06-2014 00:00,14-07-2014 00:00,07-01-2015 00:00
34,SPA,RODR    MARY,RODRMA,22162367658,Mr,Mary,Rodriguez,M,W,1,1,03-07-2013,07-10-2013,GOLD,HIGH,DORMANT,RETAIL,D,3,W,P,1,1,1,0,0,0,I,Mrs Mary Rodriguez,0,0000000016684484,3,Tech Solutions,Director,16-11-1954,16,1,03-07-2013 00:00,15-09-2013 00:00,26-10-2013 00:00
35,ENG,MOOR    LIND,MOORLI,45134619511,Ms,Linda,Moore,M,D,2,0,30-12-2017,01-05-2018,STANDARD,VERY_HIGH,ACTIVE,ONLINE,A,1,Y,S,1,1,1,0,1,1,A,Mr Linda Moore,0,0000000009F5056E,1,Consulting LLC,Manager,27-11-1983,27,0,30-12-2017 00:00,03-02-2018 00:00,13-08-2018 00:00
36,SPA,THOM    LIND,THOMLI,67317080966,Mr,Linda,Thomas,F,D,3,1,29-06-2023,23-04-2024,BASIC,HIGH,INACTIVE,HYBRID,E,1,X,Q,1,0,0,1,1,1,A,Mr Linda Thomas,1,000000002FCF1451,2,XYZ Industries,VP Sales,07-05-1971,7,1,29-06-2023 00:00,06-09-2023 00:00,23-06-2024 00:00
37,CHI,TAYL    JOSE,TAYLJO,70210036446,Mr,Joseph,Taylor,M,D,3,1,12-12-2012,31-10-2013,VIP,VERY_HIGH,DORMANT,RETAIL,D,1,Z,Q,1,1,0,1,0,0,I,Dr Joseph Taylor,0,0000000019543DD3,2,Services Inc,Engineer,28-07-1949,28,0,12-12-2012 00:00,24-01-2013 00:00,14-01-2014 00:00
38,POR,WILL    WILL,WILLWI,99416703367,Mrs,William,Williams,M,S,1,0,02-11-2019,11-04-2020,STANDARD,MEDIUM,INACTIVE,RETAIL,B,4,W,S,1,1,0,1,0,1,I,Ms William Williams,1,0000000025D9D241,1,Tech Solutions,Director,07-09-1978,7,1,02-11-2019 00:00,01-01-2020 00:00,20-06-2020 00:00
39,CHI,JOHN    MICH,JOHNMI,89296742767,Prof,Michael,Johnson,M,M,2,0,09-01-2014,22-07-2014,GOLD,VERY_HIGH,INACTIVE,RETAIL,D,1,Z,P,0,0,0,1,1,0,A,Ms Michael Johnson,1,0000000018CB6ED8,2,Consulting LLC,Engineer,03-05-1998,3,0,09-01-2014 00:00,31-03-2014 00:00,06-12-2014 00:00
40,ITA,WILL    MARY,WILLMA,53595521486,Mr,Mary,Williams,M,U,3,0,01-09-2020,29-03-2021,BASIC,VERY_HIGH,INACTIVE,RETAIL,C,5,W,R,0,0,1,1,0,1,A,Mrs Mary Williams,0,0000000015DEF157,2,XYZ Industries,CEO,22-09-1951,22,0,01-09-2020 00:00,21-09-2020 00:00,10-10-2020 00:00
41,FRE,BROW    CHAR,BROWCH,64104761497,Mrs,Charles,Brown,M,S,1,0,10-11-2025,22-07-2026,PREMIUM,VERY_HIGH,DORMANT,ONLINE,D,5,Z,S,0,0,1,1,0,1,P,Dr Charles Brown,1,00000000313E7B34,2,Consulting LLC,Analyst,25-06-1987,25,1,10-11-2025 00:00,01-12-2025 00:00,02-01-2027 00:00
42,POR,MART    RICH,MARTRI,82352556397,Mr,Richard,Martin,M,D,1,0,11-10-2022,29-03-2023,VIP,MEDIUM,ENGAGED,RETAIL,B,4,Z,P,1,0,1,1,0,1,A,Ms Richard Martin,0,0000000001CDD322,2,ABC Corp,Engineer,02-05-2000,2,0,11-10-2022 00:00,29-10-2022 00:00,30-10-2022 00:00
43,ENG,THOM    CHAR,THOMCH,22480562887,Mr,Charles,Thomas,M,D,1,0,22-01-2022,28-11-2022,GOLD,VERY_HIGH,ACTIVE,BOTH,B,3,X,P,0,1,1,0,0,1,P,Mr Charles Thomas,0,000000002DFCA15D,1,Tech Solutions,Analyst,16-12-1993,16,0,22-01-2022 00:00,11-04-2022 00:00,21-07-2022 00:00
44,POR,JACK    JOSE,JACKJO,85273852135,Prof,Joseph,Jackson,F,U,3,0,02-12-2013,19-07-2014,VIP,HIGH,ENGAGED,BOTH,C,1,Z,P,1,0,0,1,0,0,A,Ms Joseph Jackson,0,000000003525017D,3,Global Enterprises,Specialist,22-11-1956,22,0,02-12-2013 00:00,20-12-2013 00:00,03-01-2014 00:00
45,ENG,JOHN    BARB,JOHNBA,80051242519,Dr,Barbara,Johnson,M,U,2,1,22-06-2016,09-08-2016,STANDARD,LOW,DORMANT,RETAIL,C,3,X,R,1,1,1,1,1,0,I,Dr Barbara Johnson,1,000000003B27E716,3,Tech Solutions,Director,26-01-1957,26,1,22-06-2016 00:00,03-07-2016 00:00,28-01-2017 00:00
46,ITA,GARC    KARE,GARCKA,71445931834,Prof,Karen,Garcia,M,W,1,1,10-05-2019,05-12-2019,VIP,HIGH,DORMANT,HYBRID,C,1,X,S,1,0,0,0,1,0,A,Mr Karen Garcia,0,0000000031D33225,3,Tech Solutions,Engineer,03-02-1965,3,1,10-05-2019 00:00,22-07-2019 00:00,26-05-2019 00:00
47,FRE,JONE    KARE,JONEKA,59518653145,Dr,Karen,Jones,F,D,3,1,21-09-2013,25-02-2014,PREMIUM,HIGH,INACTIVE,HYBRID,E,4,X,R,1,1,0,1,1,0,A,Mrs Karen Jones,0,000000001CEE4477,1,Services Inc,Specialist,15-06-1968,15,0,21-09-2013 00:00,18-12-2013 00:00,29-01-2015 00:00
48,FRE,LOPE    MARY,LOPEMA,34213737224,Ms,Mary,Lopez,M,U,1,0,23-09-2018,02-02-2019,STANDARD,MEDIUM,ENGAGED,RETAIL,C,5,Z,S,0,0,0,1,1,1,P,Dr Mary Lopez,1,0000000034B197BA,3,ABC Corp,VP Sales,10-09-1980,10,1,23-09-2018 00:00,15-12-2018 00:00,30-10-2018 00:00
49,FRE,ANDE    BARB,ANDEBA,66388767193,Prof,Barbara,Anderson,M,M,1,0,08-03-2025,09-09-2025,STANDARD,MEDIUM,DORMANT,ONLINE,C,5,Z,P,1,0,1,0,1,0,P,Mrs Barbara Anderson,0,000000000AF4F374,3,Retail Group,Engineer,21-09-1953,21,0,08-03-2025 00:00,12-03-2025 00:00,18-04-2025 00:00
50,CHI,JACK    MICH,JACKMI,98554101384,Mr,Michael,Jackson,M,W,3,1,30-10-2024,23-10-2025,BASIC,VERY_HIGH,INACTIVE,HYBRID,C,4,X,P,0,1,1,1,1,0,A,Mrs Michael Jackson,1,0000000037229249,3,Tech Solutions,Engineer,25-04-1986,25,1,30-10-2024 00:00,16-11-2024 00:00,23-11-2025 00:00
51,ITA,TAYL    PATR,TAYLPA,41995771245,Mrs,Patricia,Taylor,M,M,1,1,30-09-2014,14-05-2015,GOLD,VERY_HIGH,INACTIVE,ONLINE,C,5,Z,Q,0,1,1,1,1,1,A,Mr Patricia Taylor,1,00000000205933BC,2,XYZ Industries,CEO,15-04-1965,15,1,30-09-2014 00:00,07-10-2014 00:00,25-10-2014 00:00
52,CHI,THOM    CHAR,THOMCH,58976603325,Mr,Charles,Thomas,F,W,1,0,30-05-2014,31-12-2014,GOLD,LOW,ACTIVE,HYBRID,E,4,Z,P,0,0,1,1,1,1,A,Mrs Charles Thomas,1,00000000200146C5,1,ABC Corp,Manager,01-09-1963,1,0,30-05-2014 00:00,30-08-2014 00:00,16-11-2014 00:00
53,POR,TAYL    ELIZ,TAYLEL,95604576882,Ms,Elizabeth,Taylor,F,S,2,1,19-02-2015,18-01-2016,BASIC,VERY_HIGH,DORMANT,HYBRID,A,3,Z,P,1,1,0,1,1,0,A,Dr Elizabeth Taylor,0,00000000218D05C7,3,Services Inc,Analyst,17-10-1954,17,0,19-02-2015 00:00,18-05-2015 00:00,23-06-2015 00:00
54,CHI,JACK    MICH,JACKMI,66484967158,Mrs,Michael,Jackson,M,W,3,1,13-01-2019,15-03-2019,STANDARD,MEDIUM,DORMANT,HYBRID,E,4,Z,Q,1,1,1,1,1,0,A,Ms Michael Jackson,1,000000000E6438B3,2,Consulting LLC,Consultant,15-01-1957,15,0,13-01-2019 00:00,12-04-2019 00:00,08-01-2020 00:00
55,ITA,HERN    ELIZ,HERNEL,87832856621,Prof,Elizabeth,Hernandez,F,W,2,1,18-02-2018,02-06-2018,BASIC,HIGH,DORMANT,RETAIL,C,4,Z,S,0,0,1,1,0,0,P,Mrs Elizabeth Hernandez,0,00000000033FBDA1,3,Retail Group,CEO,26-09-1967,26,0,18-02-2018 00:00,25-02-2018 00:00,10-04-2018 00:00
56,ENG,HERN    LIND,HERNLI,87157020576,Mrs,Linda,Hernandez,F,W,3,1,31-01-2015,01-11-2015,STANDARD,LOW,DORMANT,BOTH,A,1,Y,P,0,1,0,0,1,1,A,Ms Linda Hernandez,0,000000000097D551,2,Retail Group,Director,25-11-1951,25,1,31-01-2015 00:00,09-03-2015 00:00,20-09-2015 00:00
57,GER,TAYL    JESS,TAYLJE,26358731051,Ms,Jessica,Taylor,F,S,3,1,13-02-2018,09-02-2019,BASIC,MEDIUM,ACTIVE,BOTH,C,5,Y,Q,1,1,1,0,1,0,A,Mrs Jessica Taylor,1,0000000014B5E3C5,1,ABC Corp,Consultant,15-09-1953,15,1,13-02-2018 00:00,16-03-2018 00:00,29-09-2018 00:00
58,ITA,HERN    THOM,HERNTH,60052188944,Mrs,Thomas,Hernandez,M,M,3,0,03-04-2012,27-12-2012,BASIC,MEDIUM,ENGAGED,BOTH,A,3,Z,Q,0,0,1,0,1,1,I,Dr Thomas Hernandez,0,0000000030C24EDC,1,Services Inc,Director,19-12-1982,19,1,03-04-2012 00:00,10-06-2012 00:00,29-03-2013 00:00
59,FRE,WILL    PATR,WILLPA,53656354657,Prof,Patricia,Williams,M,W,1,0,14-07-2016,07-06-2017,VIP,HIGH,ENGAGED,RETAIL,D,2,W,S,0,1,1,0,1,1,A,Mrs Patricia Williams,0,0000000002E60734,2,Tech Solutions,Director,17-09-1948,17,0,14-07-2016 00:00,23-07-2016 00:00,04-11-2017 00:00
60,CHI,JOHN    ELIZ,JOHNEL,65367856250,Dr,Elizabeth,Johnson,M,W,2,0,14-01-2015,16-11-2015,STANDARD,LOW,ACTIVE,ONLINE,E,4,Y,Q,0,0,1,1,1,1,A,Mrs Elizabeth Johnson,1,0000000016277B2D,1,Tech Solutions,CEO,25-03-1971,25,0,14-01-2015 00:00,19-01-2015 00:00,03-03-2016 00:00
61,ENG,MART    LIND,MARTLI,93521828396,Mr,Linda,Martin,M,S,3,0,06-04-2014,27-11-2014,VIP,MEDIUM,INACTIVE,RETAIL,B,5,Z,Q,1,1,0,1,0,0,I,Ms Linda Martin,1,0000000003E6BADD,3,Retail Group,VP Sales,03-04-1960,3,1,06-04-2014 00:00,17-06-2014 00:00,15-12-2014 00:00
62,CHI,LOPE    MICH,LOPEMI,49295590424,Dr,Michael,Lopez,F,S,3,1,03-05-2021,03-10-2021,STANDARD,LOW,INACTIVE,HYBRID,A,5,W,S,0,1,0,1,0,1,A,Dr Michael Lopez,1,0000000005EAEE19,3,Services Inc,CEO,11-09-1995,11,0,03-05-2021 00:00,07-06-2021 00:00,12-11-2021 00:00
63,GER,MART    KARE,MARTKA,37828786216,Ms,Karen,Martin,M,D,1,0,06-03-2025,11-07-2025,PREMIUM,VERY_HIGH,INACTIVE,ONLINE,D,2,Z,R,1,1,1,1,1,1,P,Dr Karen Martin,1,00000000064F98E4,3,Global Enterprises,Engineer,07-02-2000,7,0,06-03-2025 00:00,23-04-2025 00:00,13-08-2025 00:00
64,CHI,JOHN    LIND,JOHNLI,28447710411,Mrs,Linda,Johnson,M,D,1,1,06-11-2017,23-09-2018,STANDARD,VERY_HIGH,DORMANT,BOTH,D,4,W,Q,1,0,0,1,0,0,P,Mr Linda Johnson,0,00000000345A0B83,3,ABC Corp,Manager,01-03-1992,1,1,06-11-2017 00:00,24-11-2017 00:00,11-01-2019 00:00
65,POR,WILL    JOSE,WILLJO,91864009895,Prof,Joseph,Williams,M,W,3,1,24-03-2022,01-05-2022,PREMIUM,VERY_HIGH,ACTIVE,RETAIL,E,3,Z,P,1,0,0,0,0,0,A,Ms Joseph Williams,1,00000000111BD938,2,ABC Corp,Engineer,17-04-1945,17,1,24-03-2022 00:00,22-05-2022 00:00,07-01-2023 00:00
66,SPA,DAVI    JOSE,DAVIJO,63280264587,Dr,Joseph,Davis,M,U,2,0,16-09-2012,07-09-2013,PREMIUM,MEDIUM,ACTIVE,HYBRID,D,3,X,P,0,0,1,1,0,0,A,Mr Joseph Davis,0,000000003B70E871,2,ABC Corp,CEO,21-02-1988,21,0,16-09-2012 00:00,22-12-2012 00:00,10-11-2013 00:00
67,CHI,WILL    JENN,WILLJE,55271370941,Dr,Jennifer,Williams,M,S,3,0,16-09-2024,29-06-2025,BASIC,HIGH,ACTIVE,HYBRID,B,1,Z,S,1,0,1,1,1,0,A,Dr Jennifer Williams,1,000000000BE320FA,3,Retail Group,Analyst,08-10-1955,8,0,16-09-2024 00:00,24-12-2024 00:00,29-07-2025 00:00
68,FRE,DAVI    CHAR,DAVICH,64716402846,Ms,Charles,Davis,M,D,1,0,09-07-2020,10-08-2020,BASIC,VERY_HIGH,DORMANT,BOTH,A,2,X,Q,1,1,1,0,0,0,A,Mr Charles Davis,1,000000003747289A,2,ABC Corp,Consultant,05-05-1950,5,1,09-07-2020 00:00,28-08-2020 00:00,11-08-2021 00:00
69,FRE,MOOR    DAVI,MOORDA,44956051895,Ms,David,Moore,M,D,2,0,15-07-2020,15-09-2020,STANDARD,VERY_HIGH,DORMANT,HYBRID,C,4,X,R,1,0,1,0,1,0,A,Ms David Moore,0,0000000019530477,2,Consulting LLC,Analyst,06-09-1981,6,1,15-07-2020 00:00,10-09-2020 00:00,02-01-2021 00:00
70,JPN,MART    LIND,MARTLI,32824243399,Dr,Linda,Martin,M,D,2,1,03-07-2016,23-05-2017,STANDARD,LOW,ENGAGED,BOTH,D,3,X,Q,0,0,1,0,1,1,A,Dr Linda Martin,1,0000000008E84F89,3,Tech Solutions,CEO,20-06-1964,20,1,03-07-2016 00:00,26-09-2016 00:00,19-09-2016 00:00
71,CHI,GONZ    LIND,GONZLI,81014567241,Dr,Linda,Gonzalez,M,U,1,1,21-01-2025,21-11-2025,GOLD,HIGH,ACTIVE,ONLINE,C,2,X,S,1,1,0,0,0,1,A,Mrs Linda Gonzalez,1,0000000017F19335,2,Global Enterprises,VP Sales,16-10-1973,16,1,21-01-2025 00:00,25-01-2025 00:00,25-09-2025 00:00
