orderid,createdtimestamp,iscancelled,isconfirmed,maxfulfillmentstatusid,minfulfillmentstatusid,ordertypeid,orgid,sellinglocationid,messageid,utmcampaign,utmmedium,utmsource,customeremail,fulfillmentstatus,alternateorderid,order_source,payment_method,shipping_method,customer_type,device_type,browser
122000010,2025-06-13T00:00:00.000,False,True,4000,4000,MOBILE,dxlg-us,LOC3103,119271a4-4be5-42a9-8a6a-cd8c59a1e733,cyber_monday,organic,bing,customer3705@email.com,Fulfilled,ALT653306,IN_STORE,DEBIT_CARD,SAME_DAY,RETURNING,TABLET,Edge
122000011,2024-03-09T00:00:00.000,False,True,4000,4000,STORE,dxlg-us,LOC2982,fec33865-1b7b-4322-b1e8-e14f1a71e89e,summer_promo,social,google,customer6539@email.com,Fulfilled,ALT716886,MOBILE_APP,APPLE_PAY,EXPRESS,NEW,DESKTOP,Chrome
122000012,2022-07-26T00:00:00.000,False,True,3000,3000,PHONE,dxlg-us,LOC2160,426ee609-79b1-473a-a68e-8beace742b4d,black_friday,social,instagram,customer8953@email.com,Fulfilled,ALT665427,MOBILE_APP,APPLE_PAY,SAME_DAY,LOYALTY,MOBILE,Edge
122000013,2024-07-25T00:00:00.000,False,True,3000,3000,STORE,dxlg-us,LOC6804,c8ea9b3e-81a0-4121-813e-eef3f5e06099,holiday_2024,organic,newsletter,customer1887@email.com,Processing,ALT785197,WEBSITE,CREDIT_CARD,PICKUP,VIP,DESKTOP,Safari
122000014,2022-02-23T00:00:00.000,False,True,2000,2000,MOBILE,dxlg-us,LOC7912,524644e3-2b42-4805-b3c2-2c81a4e52200,summer_promo,cpc,newsletter,customer5092@email.com,Cancelled,ALT179046,IN_STORE,APPLE_PAY,STANDARD,NEW,DESKTOP,Chrome
122000015,2022-08-26T00:00:00.000,False,True,2000,2000,STORE,dxlg-us,LOC4502,1b17df37-3079-4e21-94c6-61d16fe4e35c,new_year,organic,google,customer3697@email.com,Pending,ALT102260,IN_STORE,PAYPAL,PICKUP,VIP,APP,Mobile Safari
122000016,2025-06-16T00:00:00.000,False,True,3000,3000,MOBILE,dxlg-us,LOC1958,b1bb16bb-5862-4d7c-bea6-95d8b20d6443,black_friday,referral,bing,customer1998@email.com,Processing,ALT428838,WEBSITE,CREDIT_CARD,SAME_DAY,LOYALTY,MOBILE,Chrome
122000017,2025-09-11T00:00:00.000,False,True,3000,3000,WEB,dxlg-us,LOC2113,f3a4f94d-3b79-4284-905e-6bd61b731929,cyber_monday,social,newsletter,customer2964@email.com,Shipped,ALT358175,WEBSITE,APPLE_PAY,STANDARD,LOYALTY,TABLET,Firefox
122000018,2022-04-16T00:00:00.000,False,True,3000,3000,MOBILE,dxlg-us,LOC5351,b6e73f15-0181-492a-bd6f-25052a1822af,holiday_2024,social,twitter,customer5915@email.com,Pending,ALT431535,WEBSITE,CREDIT_CARD,PICKUP,NEW,DESKTOP,Mobile Safari
122000019,2022-05-23T00:00:00.000,False,True,3000,3000,PHONE,dxlg-us,LOC2127,c1943a1a-ecf2-4953-8770-21f8a5e26372,summer_promo,cpc,instagram,customer3584@email.com,Pending,ALT974244,CALL_CENTER,APPLE_PAY,SAME_DAY,NEW,TABLET,Chrome
122000020,2021-07-04T00:00:00.000,False,True,3000,3000,MOBILE,dxlg-us,LOC5462,48a6d327-d952-4ba7-bf26-b67c2057ea17,fall_clearance,direct,facebook,customer6617@email.com,Fulfilled,ALT820892,CALL_CENTER,APPLE_PAY,PICKUP,VIP,DESKTOP,Chrome
122000021,2024-09-30T00:00:00.000,False,True,3000,3000,WEB,dxlg-us,LOC6464,b89dc61c-f54f-4f7a-ac73-e8d55c7421d7,new_year,social,twitter,customer5291@email.com,Fulfilled,ALT877236,IN_STORE,APPLE_PAY,PICKUP,NEW,DESKTOP,Chrome
122000022,2021-09-02T00:00:00.000,False,True,3000,3000,MOBILE,dxlg-us,LOC8041,a83c3d9d-add4-4fd6-aeb7-c2af4f2c13eb,summer_promo,email,instagram,customer6974@email.com,Cancelled,ALT141832,CALL_CENTER,DEBIT_CARD,EXPRESS,NEW,TABLET,Mobile Safari
122000023,2024-07-22T00:00:00.000,True,False,3000,3000,MOBILE,dxlg-us,LOC3900,3031e1d6-afbc-41a8-9f7f-d946d6049da7,holiday_2024,email,facebook,customer6442@email.com,Cancelled,ALT531712,MOBILE_APP,PAYPAL,EXPRESS,NEW,APP,Chrome
122000024,2025-04-11T00:00:00.000,False,True,2000,2000,PHONE,dxlg-us,LOC6000,5f6ee33e-701e-4afd-be70-4475c1d36f37,new_year,social,facebook,customer1387@email.com,Processing,ALT302511,IN_STORE,PAYPAL,OVERNIGHT,NEW,TABLET,Firefox
122000025,2025-09-17T00:00:00.000,False,True,4000,4000,PHONE,dxlg-us,LOC1452,f058d22f-a428-4478-8db7-0ba83dfd2fca,spring_sale,cpc,facebook,customer5349@email.com,Fulfilled,ALT213668,IN_STORE,PAYPAL,OVERNIGHT,LOYALTY,DESKTOP,Edge
122000026,2022-02-17T00:00:00.000,False,True,5000,5000,STORE,dxlg-us,LOC1027,3fb84c64-8150-4337-87d3-e61de623a542,black_friday,direct,twitter,customer4228@email.com,Fulfilled,ALT552248,WEBSITE,PAYPAL,SAME_DAY,VIP,DESKTOP,Firefox
122000027,2025-09-08T00:00:00.000,False,True,2000,2000,PHONE,dxlg-us,LOC7592,b5df87f4-9a6d-4f31-8b41-b31786dc843d,cyber_monday,cpc,bing,customer3085@email.com,Fulfilled,ALT540869,IN_STORE,DEBIT_CARD,SAME_DAY,VIP,APP,Mobile Safari
122000028,2020-01-02T00:00:00.000,False,True,3000,3000,STORE,dxlg-us,LOC6279,a5ad76b3-c621-4453-b74b-4dacf2c70ee5,holiday_2024,organic,newsletter,customer4501@email.com,Shipped,ALT596171,MOBILE_APP,CREDIT_CARD,OVERNIGHT,VIP,DESKTOP,Safari
122000029,2023-06-25T00:00:00.000,False,True,3000,3000,MOBILE,dxlg-us,LOC1400,037c81f6-4502-4739-b7d5-2a82cae04aff,spring_sale,social,newsletter,customer2193@email.com,Pending,ALT534572,MOBILE_APP,GIFT_CARD,PICKUP,LOYALTY,MOBILE,Safari
122000030,2020-01-23T00:00:00.000,False,True,3000,3000,STORE,dxlg-us,LOC4585,66f2f0ce-dc8c-4f12-bb8c-9be98f5c5540,summer_promo,referral,bing,customer8611@email.com,Fulfilled,ALT684482,MOBILE_APP,CREDIT_CARD,PICKUP,RETURNING,APP,Mobile Safari
122000031,2023-07-23T00:00:00.000,False,True,4000,4000,STORE,dxlg-us,LOC9976,cafd1ddf-da6f-43e3-abfe-4f2d1cd3b1b3,holiday_2024,social,twitter,customer8777@email.com,Pending,ALT371782,MOBILE_APP,PAYPAL,SAME_DAY,LOYALTY,MOBILE,Firefox
122000032,2024-12-06T00:00:00.000,False,True,3000,3000,MOBILE,dxlg-us,LOC5451,1999c474-ea80-4918-aad9-4944628e3315,fall_clearance,cpc,bing,customer2320@email.com,Fulfilled,ALT258157,MOBILE_APP,GIFT_CARD,EXPRESS,RETURNING,DESKTOP,Edge
122000033,2024-07-27T00:00:00.000,False,True,2000,2000,STORE,dxlg-us,LOC2020,b13c6488-97d8-4a82-a99b-9af5c5bc4769,summer_promo,organic,newsletter,customer1320@email.com,Cancelled,ALT902784,IN_STORE,GIFT_CARD,STANDARD,VIP,TABLET,Edge
122000034,2024-09-12T00:00:00.000,False,True,5000,5000,MOBILE,dxlg-us,LOC8999,80bb3490-1f05-47e7-942d-e56cbd19889e,summer_promo,cpc,newsletter,customer8956@email.com,Fulfilled,ALT507746,CALL_CENTER,GIFT_CARD,EXPRESS,LOYALTY,MOBILE,Mobile Safari
122000035,2020-04-20T00:00:00.000,False,True,4000,4000,WEB,dxlg-us,LOC2375,b5c8d8c5-a1d6-43a0-8731-470ac31eae65,cyber_monday,organic,facebook,customer8564@email.com,Fulfilled,ALT152727,CALL_CENTER,GIFT_CARD,OVERNIGHT,RETURNING,APP,Firefox
122000036,2023-10-14T00:00:00.000,False,True,2000,2000,PHONE,dxlg-us,LOC7906,31c9cb53-965b-475d-ae62-cecb69b47196,fall_clearance,email,newsletter,customer1317@email.com,Processing,ALT665621,WEBSITE,PAYPAL,EXPRESS,NEW,DESKTOP,Chrome
122000037,2022-10-09T00:00:00.000,False,True,3000,3000,MOBILE,dxlg-us,LOC4908,f8806c3a-bb3b-41ef-acdf-2a0f5f795582,summer_promo,organic,twitter,customer2874@email.com,Shipped,ALT328552,IN_STORE,PAYPAL,OVERNIGHT,RETURNING,DESKTOP,Safari
122000038,2023-06-28T00:00:00.000,False,True,3000,3000,PHONE,dxlg-us,LOC7149,a8b0be9c-70de-431d-a129-396f1a988f26,holiday_2024,referral,facebook,customer2245@email.com,Shipped,ALT824161,MOBILE_APP,CREDIT_CARD,OVERNIGHT,NEW,DESKTOP,Firefox
122000039,2024-10-20T00:00:00.000,False,True,3000,3000,PHONE,dxlg-us,LOC1207,c06da9bb-cc51-49d0-9854-54b0c1bdf8e3,new_year,organic,affiliate,customer9031@email.com,Fulfilled,ALT554582,CALL_CENTER,GIFT_CARD,EXPRESS,LOYALTY,MOBILE,Mobile Safari
122000040,2023-01-11T00:00:00.000,False,True,4000,4000,STORE,dxlg-us,LOC8616,943111e1-e2d1-4f62-93b9-f54ceaeec0db,holiday_2024,referral,bing,customer5397@email.com,Fulfilled,ALT993085,MOBILE_APP,CREDIT_CARD,OVERNIGHT,LOYALTY,MOBILE,Edge
122000041,2024-04-01T00:00:00.000,False,True,2000,2000,PHONE,dxlg-us,LOC3979,2af68eb8-7808-4bb7-a112-976ff90d3a44,holiday_2024,social,instagram,customer5232@email.com,Fulfilled,ALT393243,CALL_CENTER,APPLE_PAY,STANDARD,RETURNING,DESKTOP,Safari
122000042,2024-07-22T00:00:00.000,False,True,3000,3000,STORE,dxlg-us,LOC9041,1817db8f-e016-47a8-960a-bfd3e4801494,holiday_2024,email,google,customer5820@email.com,Fulfilled,ALT524045,MOBILE_APP,PAYPAL,SAME_DAY,VIP,APP,Mobile Safari
122000043,2023-11-09T00:00:00.000,False,True,5000,5000,PHONE,dxlg-us,LOC6764,f600f1d4-5d67-4668-b9bd-db0a8bc4fe92,cyber_monday,organic,instagram,customer6023@email.com,Fulfilled,ALT341736,WEBSITE,DEBIT_CARD,OVERNIGHT,NEW,MOBILE,Safari
122000044,2022-06-05T00:00:00.000,False,True,3000,3000,PHONE,dxlg-us,LOC2647,fed2b7e5-7f6b-46ba-8528-b12394278da0,new_year,social,instagram,customer4727@email.com,Fulfilled,ALT288158,CALL_CENTER,CREDIT_CARD,SAME_DAY,RETURNING,TABLET,Chrome
122000045,2020-08-11T00:00:00.000,False,True,5000,5000,MOBILE,dxlg-us,LOC9042,08ce23ac-5deb-4f39-981a-8797c994f503,spring_sale,email,bing,customer5658@email.com,Pending,ALT601968,IN_STORE,PAYPAL,EXPRESS,NEW,TABLET,Edge
122000046,2021-04-12T00:00:00.000,False,True,2000,2000,STORE,dxlg-us,LOC2213,a23424f3-205c-47a7-82a7-72b22100c27c,black_friday,referral,twitter,customer1878@email.com,Fulfilled,ALT256445,CALL_CENTER,CREDIT_CARD,EXPRESS,NEW,APP,Mobile Safari
122000047,2022-07-13T00:00:00.000,False,True,2000,2000,STORE,dxlg-us,LOC8253,ef235991-757e-460c-b150-0d3bd08bdfab,fall_clearance,direct,newsletter,customer6003@email.com,Shipped,ALT751194,WEBSITE,APPLE_PAY,STANDARD,RETURNING,MOBILE,Firefox
122000048,2020-11-28T00:00:00.000,False,True,3000,3000,WEB,dxlg-us,LOC3564,8422b744-ceb5-4638-9cd6-699701ccfc9e,spring_sale,organic,newsletter,customer8699@email.com,Fulfilled,ALT134225,MOBILE_APP,PAYPAL,OVERNIGHT,LOYALTY,DESKTOP,Safari
122000049,2022-12-19T00:00:00.000,False,True,5000,5000,MOBILE,dxlg-us,LOC7965,16765999-9459-4a5d-b4bf-a9ce2f55b6e2,spring_sale,direct,facebook,customer3441@email.com,Fulfilled,ALT966785,MOBILE_APP,CREDIT_CARD,STANDARD,RETURNING,TABLET,Mobile Safari
122000050,2023-03-28T00:00:00.000,False,True,2000,2000,PHONE,dxlg-us,LOC7594,6fc57e65-c680-4430-8fd3-cdceb761ef3a,fall_clearance,direct,bing,customer9090@email.com,Pending,ALT184349,WEBSITE,GIFT_CARD,OVERNIGHT,VIP,DESKTOP,Chrome
122000051,2022-07-26T00:00:00.000,True,False,5000,5000,PHONE,dxlg-us,LOC1659,c037bff7-ec46-44b4-96de-8a548ac0c4b5,new_year,social,newsletter,customer9502@email.com,Processing,ALT563711,CALL_CENTER,DEBIT_CARD,SAME_DAY,LOYALTY,APP,Chrome
122000052,2025-04-09T00:00:00.000,False,True,3000,3000,PHONE,dxlg-us,LOC2713,f12e411c-4f44-44db-935b-bdd0a8fd6464,new_year,social,instagram,customer7744@email.com,Processing,ALT619536,CALL_CENTER,GIFT_CARD,SAME_DAY,NEW,APP,Chrome
122000053,2023-07-12T00:00:00.000,False,True,3000,3000,STORE,dxlg-us,LOC9431,5950a3a3-dfa2-48bb-9098-4f9260e88196,new_year,email,twitter,customer9889@email.com,Pending,ALT533321,WEBSITE,DEBIT_CARD,SAME_DAY,VIP,APP,Edge
122000054,2020-07-30T00:00:00.000,False,True,4000,4000,MOBILE,dxlg-us,LOC5719,030cee16-fb2e-4097-8df0-c9011d6085ae,holiday_2024,referral,newsletter,customer2989@email.com,Fulfilled,ALT760626,MOBILE_APP,DEBIT_CARD,OVERNIGHT,NEW,APP,Chrome
122000055,2022-07-09T00:00:00.000,True,False,2000,2000,WEB,dxlg-us,LOC3522,d7306d66-a042-4a5a-947d-1ebf33089cc3,holiday_2024,referral,instagram,customer9337@email.com,Processing,ALT386706,IN_STORE,GIFT_CARD,PICKUP,RETURNING,APP,Mobile Safari
122000056,2021-08-15T00:00:00.000,False,True,4000,4000,MOBILE,dxlg-us,LOC2143,62de56a3-35cb-4bcc-800c-5eb0726fdb22,fall_clearance,organic,instagram,customer9318@email.com,Fulfilled,ALT960408,WEBSITE,PAYPAL,OVERNIGHT,LOYALTY,MOBILE,Edge
122000057,2025-06-06T00:00:00.000,False,True,4000,4000,STORE,dxlg-us,LOC8460,f736311c-4793-4dbc-9cc3-4ad5901f409b,fall_clearance,social,twitter,customer4912@email.com,Shipped,ALT501574,MOBILE_APP,GIFT_CARD,STANDARD,VIP,APP,Edge
122000058,2024-04-30T00:00:00.000,True,False,2000,2000,WEB,dxlg-us,LOC3068,771a12aa-9734-4e27-93b7-0639987e0d61,black_friday,direct,instagram,customer2644@email.com,Cancelled,ALT986088,IN_STORE,CREDIT_CARD,SAME_DAY,LOYALTY,DESKTOP,Safari
122000059,2024-08-06T00:00:00.000,False,True,3000,3000,WEB,dxlg-us,LOC8692,2e6702f5-4631-4bd2-9552-4289251b8888,new_year,cpc,instagram,customer7512@email.com,Processing,ALT184216,CALL_CENTER,APPLE_PAY,PICKUP,VIP,APP,Mobile Safari
122000060,2020-05-27T00:00:00.000,False,True,3000,3000,PHONE,dxlg-us,LOC4727,06edcc3b-d402-454d-961c-27a2beb1b757,cyber_monday,email,newsletter,customer2612@email.com,Cancelled,ALT764532,WEBSITE,GIFT_CARD,EXPRESS,VIP,DESKTOP,Chrome
122000061,2023-08-21T00:00:00.000,False,True,3000,3000,PHONE,dxlg-us,LOC7141,c97e3966-140f-48fd-a459-40284012ccb2,holiday_2024,social,facebook,customer9702@email.com,Pending,ALT693418,MOBILE_APP,DEBIT_CARD,EXPRESS,NEW,APP,Mobile Safari
122000062,2022-09-13T00:00:00.000,False,True,4000,4000,MOBILE,dxlg-us,LOC4804,28828051-4301-4627-bbe9-760eaaea47e5,holiday_2024,referral,instagram,customer8529@email.com,Fulfilled,ALT799233,WEBSITE,GIFT_CARD,OVERNIGHT,RETURNING,DESKTOP,Edge
122000063,2023-11-16T00:00:00.000,False,True,5000,5000,STORE,dxlg-us,LOC5097,dddda540-2598-4144-9003-fefdfd99d0f5,holiday_2024,cpc,facebook,customer7302@email.com,Cancelled,ALT606680,WEBSITE,DEBIT_CARD,PICKUP,VIP,TABLET,Firefox
122000064,2020-03-30T00:00:00.000,False,True,3000,3000,WEB,dxlg-us,LOC1803,160e4b65-dd3a-45e7-babb-62445a98cac7,black_friday,referral,newsletter,customer5689@email.com,Cancelled,ALT937665,MOBILE_APP,APPLE_PAY,OVERNIGHT,RETURNING,MOBILE,Mobile Safari
122000065,2022-10-23T00:00:00.000,False,True,5000,5000,MOBILE,dxlg-us,LOC2591,71ce7a01-540a-4dc0-a96a-3dd51d245c9f,cyber_monday,referral,google,customer6061@email.com,Cancelled,ALT562236,WEBSITE,APPLE_PAY,OVERNIGHT,RETURNING,DESKTOP,Firefox
122000066,2023-08-31T00:00:00.000,False,True,3000,3000,MOBILE,dxlg-us,LOC3165,76e53df1-745d-4984-9774-20a5c4a9e6a4,new_year,direct,instagram,customer9697@email.com,Shipped,ALT385765,MOBILE_APP,PAYPAL,PICKUP,VIP,TABLET,Chrome
122000067,2025-04-02T00:00:00.000,True,False,3000,3000,STORE,dxlg-us,LOC6992,31dde8ea-91c2-4aa3-94f2-ec5aae0b93b0,spring_sale,organic,google,customer5332@email.com,Shipped,ALT229592,IN_STORE,PAYPAL,OVERNIGHT,LOYALTY,TABLET,Chrome
122000068,2022-08-15T00:00:00.000,False,True,4000,4000,PHONE,dxlg-us,LOC4626,101751d6-4ae5-4af6-bbf5-400ebf6e709a,cyber_monday,email,twitter,customer8606@email.com,Processing,ALT416869,IN_STORE,CREDIT_CARD,EXPRESS,NEW,DESKTOP,Firefox
122000069,2025-07-10T00:00:00.000,False,True,3000,3000,MOBILE,dxlg-us,LOC7367,29bb47fa-93f1-45ef-ad39-d45ccf9c7eac,holiday_2024,cpc,twitter,customer9850@email.com,Pending,ALT715870,MOBILE_APP,GIFT_CARD,STANDARD,LOYALTY,APP,Firefox
122000070,2020-05-14T00:00:00.000,False,True,3000,3000,STORE,dxlg-us,LOC8285,95a2eda1-a947-4ae5-87a6-8c587cfa6709,summer_promo,cpc,google,customer7018@email.com,Shipped,ALT776149,CALL_CENTER,CREDIT_CARD,PICKUP,VIP,MOBILE,Chrome
122000071,2025-02-05T00:00:00.000,False,True,3000,3000,WEB,dxlg-us,LOC1828,70e5bade-d8bb-44b1-a82a-34a5cf62cf19,new_year,cpc,facebook,customer3063@email.com,Cancelled,ALT692002,MOBILE_APP,CREDIT_CARD,SAME_DAY,RETURNING,MOBILE,Safari
122000072,2023-09-07T00:00:00.000,False,True,4000,4000,WEB,dxlg-us,LOC5542,1f713301-52c6-4975-8349-e2506ccb4810,new_year,social,facebook,customer9850@email.com,Fulfilled,ALT937302,MOBILE_APP,CREDIT_CARD,STANDARD,RETURNING,DESKTOP,Firefox
122000073,2022-09-01T00:00:00.000,False,True,3000,3000,MOBILE,dxlg-us,LOC5347,1956cab7-4e27-444e-b10b-57349b164dc3,spring_sale,social,twitter,customer7897@email.com,Shipped,ALT219169,WEBSITE,GIFT_CARD,PICKUP,VIP,DESKTOP,Edge
122000074,2025-08-25T00:00:00.000,False,True,4000,4000,WEB,dxlg-us,LOC9543,02076fba-c5a9-472e-bf00-ff6933bc7e9e,fall_clearance,organic,twitter,customer1510@email.com,Fulfilled,ALT602248,IN_STORE,GIFT_CARD,STANDARD,LOYALTY,APP,Chrome
122000075,2020-11-26T00:00:00.000,False,True,3000,3000,WEB,dxlg-us,LOC3067,11d4f33c-ec1e-4546-aa05-d8ca85deca87,fall_clearance,direct,twitter,customer9984@email.com,Processing,ALT440981,IN_STORE,APPLE_PAY,SAME_DAY,VIP,APP,Mobile Safari
122000076,2024-10-28T00:00:00.000,False,True,5000,5000,WEB,dxlg-us,LOC4522,aa9237cd-352c-4e9e-b0f8-9e33fdcbe856,holiday_2024,organic,facebook,customer7779@email.com,Fulfilled,ALT967611,IN_STORE,GIFT_CARD,PICKUP,NEW,TABLET,Edge
122000077,2023-07-04T00:00:00.000,False,True,3000,3000,MOBILE,dxlg-us,LOC8770,610cfbba-f854-4ba7-baac-7b66325a4aee,spring_sale,email,affiliate,customer2398@email.com,Fulfilled,ALT552855,WEBSITE,PAYPAL,EXPRESS,NEW,TABLET,Chrome
122000078,2024-08-09T00:00:00.000,False,True,5000,5000,STORE,dxlg-us,LOC1842,b1a55f04-5ff2-4a1d-aa1c-6a489b727524,fall_clearance,direct,instagram,customer6761@email.com,Fulfilled,ALT705991,MOBILE_APP,DEBIT_CARD,PICKUP,RETURNING,DESKTOP,Firefox
122000079,2024-02-14T00:00:00.000,False,True,3000,3000,MOBILE,dxlg-us,LOC8030,5be31a33-1c09-44b7-b446-bc7ffc2e4167,new_year,direct,affiliate,customer1430@email.com,Shipped,ALT789786,CALL_CENTER,CREDIT_CARD,EXPRESS,VIP,TABLET,Firefox
122000080,2023-12-08T00:00:00.000,False,True,3000,3000,STORE,dxlg-us,LOC2140,e125434a-1a3d-44a7-a2ef-654fb216ed5d,summer_promo,referral,twitter,customer1502@email.com,Fulfilled,ALT882354,MOBILE_APP,GIFT_CARD,PICKUP,LOYALTY,TABLET,Safari
122000081,2024-02-24T00:00:00.000,False,True,3000,3000,WEB,dxlg-us,LOC1861,11ca0946-283b-4fe1-bc9a-405b6e9e5ec3,summer_promo,social,affiliate,customer1815@email.com,Processing,ALT185544,CALL_CENTER,GIFT_CARD,PICKUP,LOYALTY,APP,Edge
122000082,2023-01-23T00:00:00.000,False,True,4000,4000,WEB,dxlg-us,LOC6655,5d79a363-700e-46f8-a327-95cfdb55f7db,holiday_2024,email,instagram,customer8972@email.com,Shipped,ALT799539,CALL_CENTER,CREDIT_CARD,EXPRESS,LOYALTY,DESKTOP,Chrome
122000083,2022-04-17T00:00:00.000,False,True,3000,3000,MOBILE,dxlg-us,LOC5186,1d8c0203-b8bd-4637-92cf-cc2bb51d5b06,fall_clearance,cpc,google,customer1126@email.com,Pending,ALT883301,IN_STORE,DEBIT_CARD,EXPRESS,LOYALTY,MOBILE,Mobile Safari
122000084,2023-12-21T00:00:00.000,False,True,5000,5000,WEB,dxlg-us,LOC8147,bf8e46e8-a93a-40d2-afa9-6f30393c32cb,spring_sale,organic,google,customer6129@email.com,Shipped,ALT550137,IN_STORE,GIFT_CARD,OVERNIGHT,NEW,APP,Chrome
122000085,2023-08-23T00:00:00.000,False,True,4000,4000,STORE,dxlg-us,LOC6928,69c9de5b-a6f2-4677-bb5a-644f8de81051,spring_sale,organic,affiliate,customer2734@email.com,Fulfilled,ALT556839,IN_STORE,APPLE_PAY,STANDARD,LOYALTY,TABLET,Firefox
122000086,2022-06-26T00:00:00.000,False,True,3000,3000,WEB,dxlg-us,LOC9363,138c1f42-c66d-40cf-b7e8-fc32cc76904f,cyber_monday,email,bing,customer9355@email.com,Fulfilled,ALT913934,CALL_CENTER,PAYPAL,EXPRESS,RETURNING,DESKTOP,Safari
122000087,2022-11-14T00:00:00.000,False,True,4000,4000,MOBILE,dxlg-us,LOC2234,84589a0d-f439-4762-8f12-6d9a30e0908e,summer_promo,referral,newsletter,customer8601@email.com,Cancelled,ALT691119,IN_STORE,APPLE_PAY,SAME_DAY,VIP,TABLET,Safari
122000088,2024-12-06T00:00:00.000,False,True,2000,2000,PHONE,dxlg-us,LOC5500,bf6ed308-331e-4e2c-beeb-4e787c3d74ff,black_friday,email,instagram,customer9312@email.com,Fulfilled,ALT425486,IN_STORE,GIFT_CARD,STANDARD,NEW,TABLET,Firefox
122000089,2020-11-10T00:00:00.000,False,True,3000,3000,STORE,dxlg-us,LOC8581,5fababb0-1a7c-4ffc-8827-8b552cef3502,black_friday,direct,affiliate,customer1672@email.com,Pending,ALT949153,MOBILE_APP,PAYPAL,SAME_DAY,LOYALTY,MOBILE,Chrome
122000090,2025-01-19T00:00:00.000,False,True,3000,3000,WEB,dxlg-us,LOC9266,ec3d2cea-7969-4605-8311-d33aefca3bbb,cyber_monday,social,google,customer5059@email.com,Processing,ALT559022,IN_STORE,APPLE_PAY,SAME_DAY,RETURNING,TABLET,Firefox
122000091,2023-03-04T00:00:00.000,False,True,3000,3000,WEB,dxlg-us,LOC6482,f4be38a8-aa21-472c-94c3-dc717afaa546,spring_sale,cpc,google,customer7333@email.com,Fulfilled,ALT364236,MOBILE_APP,PAYPAL,STANDARD,RETURNING,TABLET,Firefox
